date|numDC_SDP|numDC_AIR|numDC_CCN|numDC_OCC|numCDR_CONFB|numCDR_CONFNB|numCDR_CALLB|numCDR_CALLNB|numCDR_DATOSB|TPS_Voice|TPS_SMS|TPS_CCNGY_SSU|TPS_OCCGY_SSU|TPS_OCCGY_CR|TPS_CCNGY_CR|percentKPDR
2020-07-05|10757|4104|56984|7902|3245128|65096735|33115971|6186762|213071476|265873.26666666666|24678.06|3837437.6566666667|647285.9133333333|650178.3833333333|3986327.8633333333|87.26
2020-07-06|12321|5220|55998|7822|4433306|70367928|40378257|7569595|212149630|313020.5366666667|29214.216666666667|3801568.9433333334|641190.83|644341.63|3951917.946666667|89.68
2020-07-07|10990|4771|53839|7745|4920725|73849287|39255784|7203666|206653813|302536.0333333333|28267.23|3704663.08|630249.9233333333|633390.2033333334|3863385.18|88.55
2020-07-08|10793|4661|52319|7613|3865552|68805501|39482207|7260849|200786416|304306.98|28626.81333333333|3621369.0866666664|621558.82|624737.28|3782890.1433333335|85.85
2020-07-09|10791|4620|58177|8020|3811903|68217550|39727740|7269952|218501473|304146.06333333335|28681.916666666668|3940968.6533333333|683017.89|686109.6866666666|4107010.2466666666|90.90
2020-07-10|10756|4701|59389|7093|3899242|68655305|40766814|7428215|218952161|310441.8333333333|28595.113333333335|4040602.9166666665|588905.59|592761.81|4206082.15|90.33
2020-07-11|10727|4587|56800|7812|3812065|67402954|39354119|7028121|213240860|302407.55|26918.09|3890529.5633333335|679539.3466666667|682510.1766666666|4068283.4633333334|88.39
2020-07-12|10670|4054|54017|7647|3167471|64437648|32473969|6259852|201249127|261234.05|24881.356666666667|3732298.63|676969.8666666667|679899.1166666667|3922957.473333333|83.18
2020-07-13|12171|5208|56008|7572|4443769|69336124|39816516|7494606|209518873|308865.38|28771.243333333332|3834146.446666667|661322.8533333334|664681.27|4018633.05|88.09
2020-07-14|10901|4700|55042|7764|4806346|72557095|39064427|7205060|210254598|304000.13|27982.71|3761908.4566666665|665751.8366666667|669391.7633333333|3929893.14|88.84
2020-07-15|10721|4651|56518|7606|3861982|68773194|39672963|7233158|210836136|303729.3433333333|28905.53|3836538.4|656596.0066666667|659625.23|4009678.5033333334|88.38
2020-07-16|10653|4690|57451|7735|3917573|67674264|40223174|7271395|215039653|306446.5933333333|29061.456666666665|3902215.756666667|665835.1233333333|668726.18|4069496.8933333335|89.61
2020-07-17|10663|4654|57281|7735|3850988|67408003|40240057|7293255|213902278|307510.7033333333|28955.333333333332|3891395.2066666665|664530.8233333334|667885.88|4056742.203333333|89.19
2020-07-18|10666|4493|55696|7652|3719118|66944420|38628845|6901052|207264963|296927.1433333333|26875.26|3813300.98|672190.6933333334|674862.8833333333|3976176.79|86.44
2020-07-19|10644|3864|53170|7540|2993055|63675364|31218007|6049672|196880878|250618.00666666665|24149.81333333333|3677873.82|670875.1466666666|673518.85|3843074.9566666665|81.42
2020-07-20|12154|3932|50398|7243|3020826|63494462|29665781|6002637|187765441|234465.94333333333|24682.06333333333|3539399.4|656742.9433333334|659400.7466666667|3710949.243333333|78.09
2020-07-21|10870|5259|53936|7370|5092971|76611203|39951010|7641436|202571324|307267.5133333333|29714.883333333335|3739168.1533333333|653186.67|656311.9233333333|3902818.1033333335|86.84
2020-07-22|10728|4697|54544|7518|3910129|70900044|39225707|7362971|205075124|301489.57|28489.9|3752351.3966666665|652284.2766666666|655207.3833333333|3915239.9266666668|86.92
2020-07-23|10712|4635|54752|7693|3887488|68235304|38822591|7199763|206102709|295664.81333333335|28407.826666666668|3762529.2933333335|670449.36|673641.3966666666|3929658.6233333335|86.95
2020-07-24|10737|4578|55280|7905|3834785|68538618|38591689|7155696|208274020|293082.0|28426.693333333333|3785809.446666667|695836.64|698532.3033333333|3959623.89|87.53
2020-07-25|10719|4430|54880|7858|3724076|67460246|36641260|6790929|206338832|281697.58666666667|26505.38|3772855.2|695148.81|697915.15|3948829.67|85.94
2020-07-26|10694|3885|51953|7467|3052915|63712038|30953521|5908580|193104099|245665.83666666667|23654.87|3606574.796666667|669117.75|671641.47|3780266.8566666665|80.21
2020-07-27|12242|5219|53431|7465|4458757|70134487|39464504|7024066|201708111|303935.54|28135.88|3697299.4766666666|657290.6866666666|660086.1366666667|3871477.4133333336|85.72
2020-07-28|10961|4737|53922|7739|4965585|73588342|39149701|7316867|204313484|299999.54|28384.34|3716539.6466666665|676636.6966666667|679256.9566666667|3886495.83|87.36
2020-07-29|10777|4748|55606|7697|4118204|69149734|39058487|7272399|208964522|298152.73|28345.71|3811393.11|668765.4166666666|671295.47|3982817.8133333335|87.96
2020-07-30|10782|4748|55937|7627|4085496|68678602|39412472|7164295|209720970|301129.42|28574.536666666667|3836657.05|664755.5166666667|667302.4|4010597.7266666666|88.04
2020-07-31|10757|4848|56409|7891|4104254|69224446|40577232|7313743|212137907|310360.6566666667|29548.96|3861423.69|693948.5|696598.82|4036885.3933333335|89.15
2020-08-01|14415|4659|55621|7838|5292452|66564940|39842491|7073874|208305526|306383.98333333334|27168.803333333333|3819571.263333333|689081.07|691877.25|3988728.57|87.19
2020-08-02|10755|3977|53362|7617|3108810|65809898|32404111|6204064|197564464|261485.91666666666|23725.316666666666|3688203.5633333335|675589.6266666667|678939.7366666667|3860639.55|82.39
2020-08-03|12319|5329|55446|7580|4541528|72177197|40611658|7633784|205717421|314363.8|29285.753333333334|3799443.263333333|659718.1833333333|662887.5033333333|3963438.8|87.99
2020-08-04|11035|4908|57361|7760|4977313|77677009|40423746|7423865|214801520|310635.5333333333|29781.263333333332|3890872.56|667051.6733333333|670093.93|4052945.1233333335|91.58
2020-08-05|10810|4786|57722|7807|3935455|69087523|40298763|7312398|215634354|307749.09|29651.233333333334|3911230.27|666781.9733333334|669730.5266666666|4073869.92|90.15
2020-08-06|10836|4840|48421|7268|3999519|69966646|41302126|7428955|189795591|314567.61666666664|29279.366666666665|3442842.22|589871.5233333333|592676.1366666667|3607107.4433333334|83.19
2020-08-07|10765|4048|45825|7303|3130259|65077377|33988882|6287963|177596683|260709.73666666666|25430.156666666666|3292694.2333333334|605263.1433333333|607785.1933333334|3470219.3433333333|77.08
2020-08-08|10688|4493|45576|7192|3656825|65949248|37125207|6759419|178367662|288166.32666666666|25525.47333333333|3296838.3233333332|596926.09|599617.6233333333|3488307.763333333|77.73
2020-08-09|10607|3901|43220|6969|2912525|62389676|30571215|5879237|167577724|245710.17333333334|23289.92|3169704.99|591831.53|594282.42|3375573.75|72.71
2020-08-10|12110|5357|45884|7096|4538064|69072950|40589484|7728838|180280846|316761.75666666665|27763.113333333335|3319723.1766666668|591470.09|594530.8533333334|3523033.736666667|79.97
2020-08-11|10856|4802|46801|7215|4882080|71905791|39862472|7449746|184267375|308801.54|28076.243333333332|3358411.1266666665|588638.5166666667|591449.4533333334|3555476.0233333334|81.66
2020-08-12|10660|4684|46727|7188|3824495|67502544|39206913|7271153|183286925|302241.5266666667|26225.423333333332|3349739.19|586726.23|589402.8866666667|3540604.3233333332|80.40
2020-08-13|10657|4570|45825|7119|3746307|66252477|38317054|7138945|181631087|298134.76|24496.206666666665|3301164.54|574649.9366666666|577346.2233333334|3474617.9366666665|79.63
2020-08-14|10667|4714|46448|7410|3865087|67082229|39876915|7395229|185520926|310799.85333333333|24392.606666666667|3323743.43|602451.6266666667|605239.87|3494541.32|80.99
2020-08-15|10664|4626|45374|7330|3764038|66113952|38623935|6810591|178808542|302276.7766666667|23085.85|3257094.7|599655.0733333334|602484.0066666667|3424036.6033333335|78.45
2020-08-16|10654|4005|42923|7062|3033132|63301850|31140964|6187225|167458098|253293.79|22269.533333333333|3131436.9233333333|587899.5666666667|590475.6333333333|3303814.9166666665|73.16
2020-08-17|12173|4146|40172|6646|3180444|63825043|29580397|6148513|156839810|234138.37666666668|22676.943333333333|2990254.6433333335|567855.1366666667|570447.89|3168974.15|69.32
2020-08-18|10865|5385|43542|7099|5214097|74608366|39694274|7714162|173809209|308668.6066666667|26182.733333333334|3178032.22|591150.1833333333|594329.54|3345560.8966666665|78.68
2020-08-19|10694|4725|44577|7044|3873101|67074979|38281293|7232036|176561244|295253.44|25906.89|3226776.3533333335|570938.1833333333|573672.55|3388487.78|78.03
2020-08-20|10704|4783|43558|7133|3974352|68210932|38827276|7330567|174088311|299262.36333333334|25173.833333333332|3170354.64|578952.9833333333|581758.7966666666|3342008.1233333335|77.76
2020-08-21|10709|4705|44605|7182|3960734|67494176|39142096|7355845|177058893|300355.43666666665|25025.093333333334|3241875.52|581686.6866666666|584352.0866666667|3416830.506666667|78.64
2020-08-22|10715|4600|42967|6969|3858149|66917881|37326107|6964330|170159046|289687.22|24038.84|3156512.7933333335|573070.1666666666|575744.4066666666|3329618.776666667|75.55
2020-08-23|10696|4011|40145|6767|2996055|63589470|30261180|5909587|158410633|245665.3|22220.126666666667|2996209.5033333334|561120.3133333334|563573.3966666666|3177136.723333333|70.25
2020-08-24|12242|5284|41298|6917|4419337|69423895|38166411|7471510|165561563|297916.18|24996.38|3056547.62|571686.74|574684.45|3235597.2933333335|75.19
2020-08-25|10943|4831|41900|7085|4942618|73201139|37755624|7233775|167630371|290473.01|25731.22333333333|3081461.82|578168.6066666667|581090.4166666666|3254385.1533333333|76.67
2020-08-26|10734|4739|41829|7112|3957942|67704405|37423709|7138789|167792202|286400.81666666665|25304.683333333334|3082109.566666667|579262.2233333334|582120.67|3259020.59|75.81
2020-08-27|10760|4684|42348|7001|3997826|67834020|37730089|7178062|168946026|288359.86333333334|25382.29|3121130.9266666668|569062.4566666667|571814.3866666667|3299145.78|76.17
2020-08-28|10763|4862|43901|6493|4191850|68479970|39300487|7358128|172706599|300962.49666666664|25391.106666666667|3230043.05|516180.83666666667|519207.06666666665|3406011.5733333332|77.02
2020-08-29|10773|4834|42838|6897|4235215|67768779|38338121|7133553|169744541|297637.24333333335|24893.986666666668|3164948.1733333333|566822.1433333333|569312.5466666666|3344034.5033333334|75.83
2020-08-30|10772|4298|40140|6692|3435670|65601836|31325045|6365797|157807020|255393.44666666666|22406.093333333334|3013950.9266666668|558110.5666666667|560434.7466666667|3199399.2533333334|70.60
2020-08-31|12353|5552|42124|7013|4795911|71157285|39331362|7664711|168484618|304939.53|25990.556666666667|3120904.38|578928.64|581862.31|3301880.1466666665|76.82
2020-09-01|14691|5033|43890|7137|6504665|73694313|39630062|7391170|176080322|304566.94333333336|26530.33|3211838.7333333334|572886.8966666666|575594.6866666666|3391757.7666666666|79.84
