FECHA,CODIGO_EMPRESA,CEDULA_ANONIMIZADA,UBICACION_ANONIMIZADA,CODIGO_LOCALIDAD,ID_ESTADO_CIVIL,ID_GENERO,FECHA_NACIMIENTO,EDAD,FECHA_INGRESO,FECHA_INICIO_CONTRATO,ID_CARGO,TIPO_CARGO,NIVEL_CARGO,CATEGORIA_CARGO,TIPO_AREA,ID_CENTRO_COSTO,TIPO_NOMINA,SUBSIDIO_TRANSPORTE,COMPENSACION_VARIABLE,PORCENT_COMP_VARIABLE,SALARIO,TOTAL_SALARIO,INDICADOR_VARIACION_SALARIO,VARIACION_SALARIO,SENAL_SINDICALIZADO,FECHA_FIN_CONTRATO,CAUSA_NOMBRE,TIPO_RETIRO,NUM_DIAS_LABORADOS,NUM_DIAS_CONTRATADOS,RETIRO
2018-03-31,21,1133,9,1520,CASADO,M,1956-01-16,65,1980-08-05,1980-08-05,84160,OPERATIVO,5,13,ADMINISTRATIVO,220132,TERMINO_INDEFINIDO,1,0,0,2412800,2412800,1,111400,0,2018-04-01,PENSIONADO,NO_APLICA,13753,13753,1
2018-03-31,21,1261,7,1504,CASADO,M,1955-08-17,66,1981-04-28,1981-04-28,83818,OPERATIVO,6,9,ADMINISTRATIVO,110152,TRADICIONAL_NOMINAL,1,0,0,1741900,1741900,1,80384,1,2018-04-01,PENSIONADO,NO_APLICA,13487,13487,1
2018-03-31,21,1374,2,1500,SOLTERO,F,1983-02-11,38,2016-07-12,2016-07-12,83892,OPERATIVO,5,11,ADMINISTRATIVO,150109,TERMINO_INDEFINIDO,1,0,0,1981400,1981400,1,38900,0,2018-04-01,RENUNCIA,NO_DESEADO,628,628,1
2018-03-31,21,1722,19,1511,NO_DEFINIDO,M,1967-04-30,54,2015-06-24,2015-06-24,83868,OPERATIVO,6,10,ADMINISTRATIVO,210246,TERMINO_INDEFINIDO,1,0,0,1283000,1283000,1,59200,0,2018-04-01,RENUNCIA,NO_DESEADO,1012,1012,1
2018-03-31,21,1786,19,1511,DIVORCIADO,M,1980-10-10,41,2016-07-01,2016-07-01,83799,OPERATIVO,6,9,ADMINISTRATIVO,210246,TERMINO_FIJO,1,0,0,1051300,1051300,1,48500,0,2018-04-01,DESPIDO,DESEADO,639,639,1
2018-03-31,21,204,6,1503,SOLTERO,F,1992-01-12,29,2018-03-16,2018-03-16,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-04-01,RENUNCIA,NO_DESEADO,16,16,1
2018-03-31,21,210,7,1504,SOLTERO,M,1997-12-22,23,2017-09-05,2017-09-05,83799,OPERATIVO,6,9,ADMINISTRATIVO,220144,TERMINO_FIJO,1,0,0,1051300,1051300,1,48500,0,2018-04-01,RENUNCIA,NO_DESEADO,208,208,1
2018-03-31,21,221,7,1504,SOLTERO,F,1989-02-19,32,2016-07-18,2016-07-18,84065,OPERATIVO,5,13,ADMINISTRATIVO,110124,TERMINO_INDEFINIDO,1,0,0,2082000,2082000,1,40800,0,2018-04-01,DESPIDO,DESEADO,622,622,1
2018-03-31,21,250,6,1503,CASADO,M,1989-07-07,32,2018-03-12,2018-03-12,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-04-01,RENUNCIA,NO_DESEADO,20,20,1
2018-03-31,21,387,6,1503,SOLTERO,F,1991-09-05,30,2018-03-12,2018-03-12,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-04-01,RENUNCIA,NO_DESEADO,20,20,1
2018-03-31,21,554,7,1504,SOLTERO,F,1992-02-03,29,2016-10-10,2016-10-10,84111,OPERATIVO,5,13,ADMINISTRATIVO,110190,TERMINO_INDEFINIDO,1,0,0,2356200,2356200,1,46200,0,2018-04-01,RENUNCIA,NO_DESEADO,538,538,1
2018-03-31,21,601,5,1502,CASADO,F,1991-05-10,30,2014-12-16,2014-12-16,84116,ESTRATEGICO,4,15,ADMINISTRATIVO,110110,TERMINO_INDEFINIDO,1,0,0,5202000,5202000,1,102000,0,2018-04-01,RENUNCIA,NO_DESEADO,1202,1202,1
2018-03-31,21,667,7,1504,SOLTERO,F,1990-07-23,31,2017-03-21,2017-03-21,83908,ESTRATEGICO,5,13,ADMINISTRATIVO,110194,TERMINO_INDEFINIDO,1,0,0,3855600,3855600,1,75600,0,2018-04-01,RENUNCIA,NO_DESEADO,376,376,1
2018-03-31,21,820,5,1502,UNION_LIBRE,F,1992-05-11,29,2017-01-23,2017-01-23,84130,ESTRATEGICO,4,14,ADMINISTRATIVO,110108,TERMINO_INDEFINIDO,1,0,0,3748500,3748500,1,73500,0,2018-04-01,RENUNCIA,NO_DESEADO,433,433,1
2018-03-31,21,995,7,1504,SOLTERO,M,1981-07-11,40,2017-06-16,2017-06-16,83887,ESTRATEGICO,4,14,ADMINISTRATIVO,110125,TERMINO_INDEFINIDO,1,0,0,3748500,3748500,1,73500,0,2018-04-01,RENUNCIA,DESEADO,289,289,1
2018-03-31,21,1097,6,1503,UNION_LIBRE,F,1998-05-03,23,2018-02-01,2018-02-01,84424,OPERATIVO,6,9,OPERATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-04-01,RENUNCIA,NO_DESEADO,59,59,1
2018-04-30,21,1363,5,1502,CASADO,M,1981-02-01,40,2014-04-21,2014-04-21,84433,ESTRATEGICO,1,22,ADMINISTRATIVO,110110,INTEGRAL,1,0,0,43911000,43911000,1,861000,0,2018-05-01,RENUNCIA,NO_DESEADO,1471,1471,1
2018-05-31,21,1549,7,1504,SOLTERO,F,1984-08-04,37,2017-11-01,2017-11-01,83878,OPERATIVO,5,12,ADMINISTRATIVO,110126,TERMINO_INDEFINIDO,1,0,0,2306700,2306700,1,45200,0,2018-05-01,RENUNCIA,NO_DESEADO,181,181,1
2018-04-30,21,1866,5,1502,DIVORCIADO,F,1965-12-16,55,2017-01-30,2017-01-30,84445,ESTRATEGICO,1,22,ADMINISTRATIVO,110112,INTEGRAL,1,0,0,49266000,49266000,1,966000,0,2018-05-01,RENUNCIA,NO_DESEADO,456,456,1
2018-04-30,21,1887,6,1503,SOLTERO,M,1983-05-25,38,2018-04-11,2018-04-11,83799,OPERATIVO,6,9,ADMINISTRATIVO,210144,TERMINO_FIJO,1,0,0,1051300,1051300,0,0,0,2018-05-01,RENUNCIA,NO_DESEADO,20,20,1
2018-04-30,21,1970,5,1502,CASADO,M,1976-09-04,45,2013-08-01,2013-08-01,84042,ESTRATEGICO,2,20,ADMINISTRATIVO,110192,INTEGRAL,1,0,0,40513400,40513400,1,794400,0,2018-05-01,RENUNCIA,DESEADO,1734,1734,1
2018-04-30,21,251,5,1502,SOLTERO,M,1989-09-06,32,2013-08-12,2013-08-12,84414,OPERATIVO,4,15,COMERCIAL,310109,TERMINO_INDEFINIDO,1,0,0,5406000,5406000,1,106000,0,2018-05-01,RENUNCIA,DESEADO,1723,1723,1
2018-04-30,21,517,7,1504,SOLTERO,F,1996-12-17,24,2015-07-06,2015-07-06,83799,OPERATIVO,6,9,ADMINISTRATIVO,220144,TERMINO_FIJO,1,0,0,1051300,1051300,1,48500,0,2018-05-01,DESPIDO,DESEADO,1030,1030,1
